问题ID,问题类型,严重程度,标题,描述,相关素材ID,相关用途ID,相关报告ID,证据摘要,处理建议,发现时间,是否已解决
issue_78feed5a,tag_conflict,critical,素材[欢快嘉年华]归并标签与审计标签冲突,"素材ID=MAT005, 报告ID=RPT003。归并后标签: ['欢快', '轻松'], 审计标签: ['愉悦', '欢快', '活泼', '轻松']。归并独有: [], 审计独有: ['愉悦', '活泼']。这可能导致后续用途错配！",MAT005,,RPT003,"material_id=MAT005; report_id=RPT003; merged_tags=欢快,轻松; auditor_tags=愉悦,欢快,活泼,轻松; merge_only=; audit_only=愉悦,活泼; merge_history={'merge_time': '2026-05-23T15:20:00', 'previous_merged_tags': [], 'new_merged_tags': ['欢快', '轻松'], 'similarities_used': [{'tag_a': '欢快', 'tag_b': '愉悦', 'score': 0.9}]}",这是高风险冲突，立即暂停该素材的后续使用；审核标签归并规则是否正确应用；检查归并历史记录，确认何时出现偏差；涉及用途错配风险，同步通知项目组,2026-06-02T14:56:04.484985,否
issue_390baa9e,tag_conflict,warning,素材[悲伤离别]源标签与人工标签冲突,"素材ID=MAT006 的源标签与人工标注存在不一致。源标签独有: ['伤感', '悲伤'], 人工标签独有: ['忧郁', '难过']",MAT006,,,"material_id=MAT006; material_title=悲伤离别; source_tags=悲伤,伤感; manual_tags=难过,忧郁; conflict_source_only=伤感,悲伤; conflict_manual_only=忧郁,难过",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.484998,否
issue_8ab9df8f,tag_conflict,warning,素材[悲伤离别]审计标签与源标签冲突,"素材ID=MAT006, 报告ID=RPT004。审计标签: ['伤感', '忧郁', '悲伤', '难过'], 源标签: ['悲伤', '伤感']。审计独有: ['忧郁', '难过'], 源标签独有: []",MAT006,,RPT004,"material_id=MAT006; report_id=RPT004; auditor=张审计; auditor_tags=伤感,忧郁,悲伤,难过; source_tags=悲伤,伤感; audit_only=忧郁,难过; source_only=; auditor_comments=归并结果有问题，'压抑'这个标签不准确，这首曲子是悲伤但不压抑。源标签和人工标签都是悲伤相关的，归并时错误地引入了'压抑'。",请审计员[张审计]与素材管理员核对标签差异；确认哪一方的标签理解有误，不擅自修改口径；将核对结果记录到审计备注中,2026-06-02T14:56:04.485012,否
issue_bcfdff33,tag_conflict,critical,素材[悲伤离别]归并标签与审计标签冲突,"素材ID=MAT006, 报告ID=RPT004。归并后标签: ['压抑', '悲伤'], 审计标签: ['伤感', '忧郁', '悲伤', '难过']。归并独有: ['压抑'], 审计独有: ['伤感', '忧郁', '难过']。这可能导致后续用途错配！",MAT006,,RPT004,"material_id=MAT006; report_id=RPT004; merged_tags=压抑,悲伤; auditor_tags=伤感,忧郁,悲伤,难过; merge_only=压抑; audit_only=伤感,忧郁,难过; merge_history={'merge_time': '2026-05-24T09:00:00', 'previous_merged_tags': [], 'new_merged_tags': ['悲伤', '压抑'], 'similarities_used': [{'tag_a': '悲伤', 'tag_b': '伤感', 'score': 0.9}]}",这是高风险冲突，立即暂停该素材的后续使用；审核标签归并规则是否正确应用；检查归并历史记录，确认何时出现偏差；涉及用途错配风险，同步通知项目组,2026-06-02T14:56:04.485027,否
issue_52ef8cb5,tag_conflict,warning,素材[悬疑追击]源标签与人工标签冲突,"素材ID=MAT007 的源标签与人工标注存在不一致。源标签独有: ['刺激', '紧张'], 人工标签独有: ['悬疑', '惊悚']",MAT007,,,"material_id=MAT007; material_title=悬疑追击; source_tags=紧张,刺激; manual_tags=悬疑,惊悚; conflict_source_only=刺激,紧张; conflict_manual_only=悬疑,惊悚",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.485041,否
issue_c30ded0a,tag_conflict,warning,素材[活泼小精灵]源标签与人工标签冲突,"素材ID=MAT008 的源标签与人工标注存在不一致。源标签独有: ['活泼', '轻快'], 人工标签独有: ['欢快', '灵动']",MAT008,,,"material_id=MAT008; material_title=活泼小精灵; source_tags=活泼,轻快; manual_tags=灵动,欢快; conflict_source_only=活泼,轻快; conflict_manual_only=欢快,灵动",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.485056,否
issue_07e3d0cf,material_duplicate,warning,发现2个重复音频素材,"文件哈希=a1b2c3d4e5f6 对应 2 个素材记录: [('MAT001', '清晨阳光钢琴曲'), ('MAT004', '清晨阳光钢琴曲')]。可能导致标签维护不同步、归并结果不一致。",MAT001|MAT004,,,"file_hash=a1b2c3d4e5f6; duplicate_count=2; materials={'material_id': 'MAT001', 'title': '清晨阳光钢琴曲', 'source_tags': ['温馨', '舒缓', '治愈'], 'manual_tags': ['温暖', '平静', '温馨'], 'merged_tags': ['温馨', '舒缓'], 'source_file': 'piano_morning.mp3'},{'material_id': 'MAT004', 'title': '清晨阳光钢琴曲', 'source_tags': ['温馨', '舒缓'], 'manual_tags': [], 'merged_tags': ['温馨', '舒缓'], 'source_file': 'piano_morning_copy.mp3'}",确认这2条记录是否为同一音频文件；如为重复录入，保留最完整的一条，其余标记为重复；如为不同文件但哈希碰撞，联系技术人员排查；重复素材的标签需保持一致，避免后续归并混乱,2026-06-02T14:56:04.485088,否
issue_7089bf7a,usage_mismatch,warning,素材[神秘森林]情绪不匹配项目[电影《迷雾森林》],"用途ID=USE003, 场景='主角误入神秘森林深处'。项目要求情绪=['神秘', '紧张'], 素材标签=['神秘']。已匹配: ['神秘→神秘'], 未匹配: ['紧张']。",MAT003,USE003,,"usage_id=USE003; material_id=MAT003; project_name=电影《迷雾森林》; scene_desc=主角误入神秘森林深处; usage_context=氛围配乐，营造神秘感; required_mood=神秘,紧张; material_tags={""source"": [""神秘"", ""诡异"", ""空灵""], ""manual"": [""梦幻"", ""迷幻"", ""神秘""], ""merged"": [""神秘""]}; matched=神秘→神秘; unmatched=紧张; auditor_notes=",核对场景'主角误入神秘森林深处'的情绪要求是否准确；检查素材[神秘森林]的标签是否完整准确；如为归并导致的标签丢失，追溯归并历史并修正归并规则；确需使用该素材时，由业务同事确认并在审计备注中说明理由,2026-06-02T14:56:04.485355,否
issue_fe1d8dc5,usage_mismatch,warning,素材[欢快嘉年华]情绪不匹配项目[综艺节目《欢乐时刻》],"用途ID=USE004, 场景='嘉宾完成挑战后的欢庆场景'。项目要求情绪=['欢快', '温馨'], 素材标签=['欢快', '轻松']。已匹配: ['欢快→欢快'], 未匹配: ['温馨']。",MAT005,USE004,,"usage_id=USE004; material_id=MAT005; project_name=综艺节目《欢乐时刻》; scene_desc=嘉宾完成挑战后的欢庆场景; usage_context=喜庆背景音乐; required_mood=欢快,温馨; material_tags={""source"": [""欢快"", ""愉悦""], ""manual"": [""开心"", ""轻松""], ""merged"": [""欢快"", ""轻松""]}; matched=欢快→欢快; unmatched=温馨; auditor_notes=",核对场景'嘉宾完成挑战后的欢庆场景'的情绪要求是否准确；检查素材[欢快嘉年华]的标签是否完整准确；如为归并导致的标签丢失，追溯归并历史并修正归并规则；确需使用该素材时，由业务同事确认并在审计备注中说明理由,2026-06-02T14:56:04.485381,否
issue_345e9b93,usage_mismatch,warning,素材[悬疑追击]情绪不匹配项目[悬疑片《真相追击》],"用途ID=USE006, 场景='侦探追踪嫌疑人的雨夜戏'。项目要求情绪=['紧张', '神秘'], 素材标签=['惊悚', '刺激', '紧张', '悬疑']。已匹配: ['紧张→紧张'], 未匹配: ['神秘']。",MAT007,USE006,,"usage_id=USE006; material_id=MAT007; project_name=悬疑片《真相追击》; scene_desc=侦探追踪嫌疑人的雨夜戏; usage_context=追击戏配乐; required_mood=紧张,神秘; material_tags={""source"": [""紧张"", ""刺激""], ""manual"": [""悬疑"", ""惊悚""], ""merged"": []}; matched=紧张→紧张; unmatched=神秘; auditor_notes=",核对场景'侦探追踪嫌疑人的雨夜戏'的情绪要求是否准确；检查素材[悬疑追击]的标签是否完整准确；如为归并导致的标签丢失，追溯归并历史并修正归并规则；确需使用该素材时，由业务同事确认并在审计备注中说明理由,2026-06-02T14:56:04.485404,否
issue_49fcee49,usage_mismatch,warning,素材[活泼小精灵]情绪不匹配项目[动画《奇幻冒险》],"用途ID=USE007, 场景='小精灵在森林中嬉戏'。项目要求情绪=['欢快', '温馨'], 素材标签=['活泼', '欢快']。已匹配: ['欢快→欢快'], 未匹配: ['温馨']。",MAT008,USE007,,"usage_id=USE007; material_id=MAT008; project_name=动画《奇幻冒险》; scene_desc=小精灵在森林中嬉戏; usage_context=轻松活泼的场景; required_mood=欢快,温馨; material_tags={""source"": [""活泼"", ""轻快""], ""manual"": [""灵动"", ""欢快""], ""merged"": [""活泼"", ""欢快""]}; matched=欢快→欢快; unmatched=温馨; auditor_notes=",核对场景'小精灵在森林中嬉戏'的情绪要求是否准确；检查素材[活泼小精灵]的标签是否完整准确；如为归并导致的标签丢失，追溯归并历史并修正归并规则；确需使用该素材时，由业务同事确认并在审计备注中说明理由,2026-06-02T14:56:04.485422,否
issue_5d92a447,usage_mismatch,critical,项目[动画《奇幻冒险》]引用不存在的素材,"用途ID=USE007, 场景='小精灵在森林中嬉戏'。分配的素材ID=MAT999 在素材库中不存在。",MAT999,USE007,,"usage_id=USE007; project_name=动画《奇幻冒险》; scene_desc=小精灵在森林中嬉戏; missing_material_id=MAT999; assigned_material_ids=MAT008,MAT999",检查素材ID是否录入错误；确认素材是否已被删除但未同步更新项目分配；如为新增素材尚未导入，先完成素材导入流程,2026-06-02T14:56:04.485435,否
issue_ccf40aef,usage_mismatch,warning,素材[悲伤离别]情绪不匹配项目[广告《夏日清凉》],"用途ID=USE008, 场景='年轻人在海边享受假期'。项目要求情绪=['欢快'], 素材标签=['悲伤', '压抑']。已匹配: [], 未匹配: ['欢快']。",MAT006,USE008,,"usage_id=USE008; material_id=MAT006; project_name=广告《夏日清凉》; scene_desc=年轻人在海边享受假期; usage_context=30秒广告配乐; required_mood=欢快; material_tags={""source"": [""悲伤"", ""伤感""], ""manual"": [""难过"", ""忧郁""], ""merged"": [""悲伤"", ""压抑""]}; matched=; unmatched=欢快; auditor_notes=",核对场景'年轻人在海边享受假期'的情绪要求是否准确；检查素材[悲伤离别]的标签是否完整准确；如为归并导致的标签丢失，追溯归并历史并修正归并规则；确需使用该素材时，由业务同事确认并在审计备注中说明理由,2026-06-02T14:56:04.485451,否
