订单编号,下单时间,部门,商品名称,城市,单价,数量,金额,经办人,备注,old_code,legacy_id
SO20250029,2025-03-09 00:00:00,运营部,订书机,北京,40.14,162,6502.68,李明,备注：此单为历史遗留，等业务方确认后再处理，后续补充相关合同号,,
SO20250030,2025-03-09 00:00:00,市场部,A4打印纸,成都,40.07,61,2444.27,张伟,,,
SO20250031,2025-05-14 00:00:00,技术部,胶带,广州,363.06,147,5336982.0,陈静,,,
SO20250032,2025-05-11 00:00:00,技术部,剪刀,武汉,99.25,25,2481.25,赵强,,,
SO20250033,2025-04-30 00:00:00,财务部,白板笔,武汉,236.18,187,44165.66,李明,,,
SO20250034,2025-02-04 00:00:00,市场部,白板笔,成都,401.29,约28箱,11236.12,王芳,,,
SO20250035,2025-02-28 00:00:00,技术部,胶带,南京,74.39,47,3496.33 元,张伟,,,
SO20250036,2025-05-08 00:00:00,技术部,签字笔,南京,404.97,141,57100.77,李明,【补录】系统漏单，操作人李明,,
SO20250037,2025-02-02 00:00:00,行政部,订书机,广州,206.17,124,25565.08,王芳,"客户定制需求详情：
第1项要求：包装加固，联系电话13176777762，地址：广州市锦江区某某路3号
第2项要求：验收单签字，联系电话13284759615，地址：广州市武昌区某某路293号
第3项要求：验收单签字，联系电话13747959430，地址：广州市武昌区某某路159号
第4项要求：指定送货时间，联系电话13318587604，地址：广州市天河区某某路992号
第5项要求：包装加固，联系电话13621890096，地址：广州市朝阳区某某路766号
第6项要求：上门安装，联系电话13061380746，地址：广州市朝阳区某某路599号
第7项要求：提供质检报告，联系电话13539931481，地址：广州市浦东区某某路59号
第8项要求：分批次发货，联系电话13914122100，地址：广州市浦东区某某路71号
第9项要求：分批次发货，联系电话13725003955，地址：广州市天河区某某路414号
第10项要求：分批次发货，联系电话13955938726，地址：广州市天河区某某路593号
第11项要求：包装加固，联系电话13665055833，地址：广州市海淀区某某路430号
第12项要求：上门安装，联系电话13279995032，地址：广州市天河区某某路686号
第13项要求：上门安装，联系电话13256287095，地址：广州市南山区某某路406号",,
SO20250038,2025-02-12 00:00:00,销售部,便利贴,南京,161.51,193,31171.43,李明,,LEG-11220,2019-8508
SO20250039,2025-06-03 00:00:00,市场部,签字笔,深圳,约255.41,34,8683.94,张伟,,,
SO20250040,2025-01-27 00:00:00,技术部,计算器,杭州,83.08,140,11631.2,赵强,,,
SO20250041,2025-03-28 00:00:00,运营部,胶带,北京,335.59,142,47653.78,张伟,,,
SO20250042,2025-02-05 00:00:00,技术部,便利贴,上海,445.41,191,85073.31 元,陈静,,,
SO20250043,2025-01-05 00:00:00,财务部,便利贴,深圳,360.22,53,19091.66,赵强, 系统导出版本回滚，此条请重点核查,,
SO20250044,2025-03-18 00:00:00,运营部,剪刀,杭州,453.14,14,6343.96,李明,,,
SO20250045,2025-04-28 00:00:00,行政部,便利贴,北京,6.76,198,1338.48,王芳,【补录】线下订单转线上，操作人王芳，后补说明,,
SO20250046,2025-02-20 00:00:00,销售部,剪刀,武汉,282.65,29,8196.85,李明,修正：原金额填错，更正为8196.85元，原单已作废,,
SO20250047,2025-05-29 00:00:00,市场部,计算器,广州,217.74,11,2395.14,张伟,,,
SO20250048,2025-04-13 00:00:00,行政部,A4打印纸,成都,108.99,64,6975.36,赵强,,,
SO20250049,2025-02-05 00:00:00,财务部,胶带,武汉,487.05,192,93513.6 元,王芳,,,
SO20250050,2025-01-05 10:00:00,行政部,文件夹,广州,441.3,7,3089.1,王芳, 【版本回滚】系统恢复了旧数据，此单时间异常请勿作为正常样例,,
SO20250051,2025-04-05 00:00:00,行政部,白板笔,深圳,137.07,约180箱,24672.6,李明,,,
SO20250052,2025-04-17 00:00:00,行政部,A4打印纸,南京,约115.1,118,13581.8,张伟,,,
SO20250053,2025-03-29 00:00:00,行政部,订书机,深圳,16.71,50,835.5,刘洋,,,
SO20250054,2025-04-04 00:00:00,财务部,签字笔,杭州,178.82,131,23425.42,刘洋,【补录】线下订单转线上，操作人刘洋，后补说明,,
SO20250055,2025-01-17 00:00:00,市场部,便利贴,广州,292.39,68,19882.52,李明,,,
SO20250056,2025-02-06 00:00:00,运营部,白板笔,成都,365.63,81,29616.03 元,刘洋,,,
SO20250057,2025-05-20 00:00:00,市场部,白板笔,深圳,131.09,182,23858.38,刘洋,,LEG-10221,2019-9518
SO20250058,2025-05-27 00:00:00,销售部,订书机,成都,218.49,171,37361.79,张伟,备注：此单为历史遗留，等业务方确认后再处理，后续补充相关合同号,,
SO20250059,2025-03-31 00:00:00,销售部,签字笔,杭州,256.03,171,43781.13,刘洋,,,
SO20250060,2025-04-03 00:00:00,销售部,签字笔,杭州,256.03,171,43781.13,刘洋,,,
SO20250061,2025-02-23 00:00:00,销售部,签字笔,杭州,256.03,171,43781.13,刘洋,,,
SO20250062,2025-04-30 00:00:00,销售部,签字笔,杭州,256.03,171,43781.13,刘洋,,,
SO20250063,2025-05-11 00:00:00,行政部,文件夹,上海,145.47,170,24729.9 元,赵强,【补录】线下订单转线上，操作人赵强，后补说明,,
SO20250064,2025-02-02 00:00:00,行政部,订书机,杭州,116.2,51,5926.2,王芳,,,
SO20250065,2025-01-16 00:00:00,市场部,订书机,南京,约307.58,197,60593.26,李明,,,
SO20250066,2025-05-06 00:00:00,人事部,回形针,深圳,360.58,99,35697.42,刘洋,,,
SO20250067,2025-04-22 00:00:00,技术部,文件夹,北京,446.87,198,88480.26,李明,,,
SO20250068,2025-04-28 00:00:00,技术部,文件夹,南京,29.86,约64箱,1911.04,李明,,,
SO20250069,2025-05-06 00:00:00,技术部,剪刀,成都,475.27,114,54180.78,陈静,修正：原金额填错，更正为54180.78元，原单保留备查,,
SO20250070,2025-05-30 00:00:00,人事部,文件夹,南京,227.78,193,43961.54 元,王芳,,,
SO20250071,2025-03-21 00:00:00,行政部,胶带,南京,315.24,71,22382.04,刘洋,,,
SO20250072,2025-01-29 00:00:00,销售部,便利贴,深圳,139.5,82,11439.0,陈静,【补录】系统漏单，操作人陈静,,
SO20250073,2025-02-17 00:00:00,技术部,白板笔,广州,354.68,17,6029.56,刘洋,,,
SO20250074,2025-04-24 00:00:00,财务部,胶带,南京,210.81,53,11172.93,刘洋,"客户定制需求详情：
第1项要求：包装加固，联系电话13919909014，地址：南京市锦江区某某路489号
第2项要求：包装加固，联系电话13377698143，地址：南京市南山区某某路772号
第3项要求：验收单签字，联系电话13916382757，地址：南京市锦江区某某路552号
第4项要求：指定送货时间，联系电话13524232414，地址：南京市天河区某某路280号
第5项要求：验收单签字，联系电话13521454127，地址：南京市朝阳区某某路399号
第6项要求：上门安装，联系电话13718197581，地址：南京市锦江区某某路742号
第7项要求：开具增值税专票，联系电话13902486082，地址：南京市武昌区某某路942号
第8项要求：开具增值税专票，联系电话13668143326，地址：南京市朝阳区某某路929号
第9项要求：验收单签字，联系电话13635540030，地址：南京市朝阳区某某路86号
第10项要求：验收单签字，联系电话13145706210，地址：南京市武昌区某某路187号
第11项要求：包装加固，联系电话13279340713，地址：南京市锦江区某某路336号
第12项要求：指定送货时间，联系电话13488229686，地址：南京市西湖区某某路346号
第13项要求：验收单签字，联系电话13298775766，地址：南京市锦江区某某路259号",,
SO20250075,2025-01-30 00:00:00,人事部,A4打印纸,北京,499.95,90,44995.5,王芳,,,
SO20250076,2025-01-27 00:00:00,行政部,A4打印纸,北京,475.06,52,24703.12,李明,,LEG-91439,2019-3496
SO20250077,2025-03-12 00:00:00,技术部,剪刀,上海,284.16,56,15912.96,刘洋,,,
SO20250078,2025-03-16 00:00:00,行政部,计算器,广州,约304.92,192,58544.64,赵强,,,
SO20250079,2025-02-08 00:00:00,行政部,文件夹,杭州,58.51,7,409.57,张伟,,,
SO20250080,2025-06-06 00:00:00,销售部,白板笔,武汉,471.03,51,24022.53,李明,,,
SO20250081,2025-03-13 00:00:00,市场部,便利贴,上海,399.13,145,57873.85,李明,【补录】客服手工补，操作人李明，后补说明,,
SO20250082,2025-04-14 00:00:00,市场部,胶带,成都,11.26,108,1216.08,刘洋,,,
SO20250083,2025-02-06 00:00:00,人事部,计算器,南京,355.12,112,39773.44,王芳,,,
SO20250084,2025-05-23 00:00:00,销售部,便利贴,南京,235.11,188,44200.68 元,陈静,,,
SO20250085,2025-03-19 00:00:00,财务部,订书机,上海,143.07,约116箱,16596.12,王芳,,,
SO20250086,2025-05-08 00:00:00,运营部,回形针,武汉,171.52,127,21783.04,张伟,,,
SO20250087,2025-02-25 00:00:00,人事部,订书机,成都,399.93,88,35193.84,张伟,备注：此单为历史遗留，等业务方确认后再处理，后续补充相关合同号,,
SO20250088,2025-03-21 00:00:00,运营部,A4打印纸,深圳,47.38,185,8765.3,刘洋,,,
SO20250089,2025-05-15 00:00:00,运营部,订书机,南京,324.72,126,40914.72,刘洋,,,
SO20250090,2025-01-14 00:00:00,市场部,便利贴,深圳,205.18,63,12926.34,张伟,【补录】线下订单转线上，操作人张伟，后补说明,,
SO20250091,2025-05-11 00:00:00,运营部,胶带,成都,215.62,191,41183.42 元,陈静,,,
SO20250092,2025-04-04 00:00:00,财务部,剪刀,杭州,156.78,60,9406.8,李明,修正：原金额填错，更正为9406.8元，原单已作废,,
SO20250093,2025-03-31 00:00:00,市场部,胶带,广州,99.81,190,1896390.0,刘洋,,,
SO20250094,2025-03-21 00:00:00,销售部,回形针,杭州,490.35,50,24517.5,张伟,,,
SO20250095,2025-03-09 00:00:00,财务部,文件夹,杭州,12.0,137,1644.0,王芳,,LEG-45954,2019-1745
SO20250096,2025-01-23 00:00:00,运营部,便利贴,广州,320.75,193,61904.75,刘洋,,,
SO20250097,2025-02-05 00:00:00,行政部,A4打印纸,杭州,237.35,113,26820.55,张伟,,,
SO20250098,2025-02-26 00:00:00,市场部,便利贴,南京,61.47,17,1044.99 元,刘洋,,,
SO20250099,2025-05-15 00:00:00,市场部,回形针,北京,80.1,145,11614.5,张伟,【补录】系统漏单，操作人张伟,,
SO20250100,2025-02-09 00:00:00,运营部,白板笔,深圳,388.97,98,38119.06,刘洋,,,
SO20250101,2025-05-03 00:00:00,财务部,回形针,武汉,156.16,159,24829.44,李明,,,
SO20250102,2025-02-04 00:00:00,行政部,订书机,深圳,136.0,约21箱,2856.0,王芳,,,
SO20250103,2025-03-12 00:00:00,技术部,胶带,上海,82.48,105,8660.4,刘洋,,,
SO20250104,2025-05-10 00:00:00,财务部,A4打印纸,深圳,约147.61,73,10775.53,赵强,,,
SO20250105,2025-05-06 00:00:00,市场部,订书机,杭州,394.97,161,63590.17 元,陈静,,,
SO20250106,2025-03-01 00:00:00,人事部,签字笔,深圳,325.58,69,22465.02,王芳,,,
SO20250107,2025-01-28 00:00:00,市场部,文件夹,杭州,299.55,146,43734.3,张伟,,,
SO20250108,2025-05-02 00:00:00,市场部,剪刀,杭州,351.37,70,24595.9,陈静,【补录】线下订单转线上，操作人陈静，后补说明,,
SO20250109,2025-05-02 00:00:00,市场部,回形针,北京,445.26,189,84154.14,张伟,,,
SO20250110,2025-03-15 00:00:00,市场部,签字笔,深圳,481.15,148,71210.2,陈静,,,
SO20250111,2025-01-15 00:00:00,行政部,便利贴,北京,382.74,45,17223.3,刘洋,"客户定制需求详情：
第1项要求：需要样品，联系电话13194872482，地址：北京市锦江区某某路651号
第2项要求：提供质检报告，联系电话13097970787，地址：北京市武昌区某某路357号
第3项要求：验收单签字，联系电话13357887167，地址：北京市西湖区某某路687号
第4项要求：分批次发货，联系电话13920983900，地址：北京市浦东区某某路338号
第5项要求：验收单签字，联系电话13744826434，地址：北京市武昌区某某路296号
第6项要求：验收单签字，联系电话13873559879，地址：北京市朝阳区某某路466号
第7项要求：分批次发货，联系电话13337710224，地址：北京市南山区某某路332号
第8项要求：分批次发货，联系电话13829517022，地址：北京市锦江区某某路886号
第9项要求：包装加固，联系电话13706157458，地址：北京市武昌区某某路424号
第10项要求：包装加固，联系电话13201415220，地址：北京市西湖区某某路638号
第11项要求：提供质检报告，联系电话13671527524，地址：北京市武昌区某某路779号
第12项要求：包装加固，联系电话13218568997，地址：北京市南山区某某路563号
第13项要求：开具增值税专票，联系电话13996081045，地址：北京市南山区某某路449号
第14项要求：提供质检报告，联系电话13130380269，地址：北京市朝阳区某某路997号",,
SO20250112,2025-03-12 00:00:00,销售部,文件夹,杭州,277.67,142,39429.14 元,刘洋,,,
SO20250113,2025-02-02 00:00:00,技术部,签字笔,南京,473.8,166,78650.8,王芳,,,
SO20250114,2025-05-17 00:00:00,销售部,便利贴,杭州,210.67,124,26123.08,刘洋,,LEG-41946,2019-8483
SO20250115,2025-05-31 00:00:00,技术部,白板笔,深圳,461.32,131,60432.92,赵强,修正：原金额填错，更正为60432.92元，原单已作废,,
SO20250116,2025-01-27 00:00:00,财务部,白板笔,成都,467.45,130,60768.5,张伟,备注：此单为历史遗留，等业务方确认后再处理，后续补充相关合同号,,
SO20250117,2025-01-10 00:00:00,财务部,便利贴,南京,约433.3,115,49829.5,陈静,【补录】客服手工补，操作人陈静，后补说明,,
SO20250118,2025-04-05 00:00:00,运营部,胶带,武汉,230.4,83,19123.2,王芳,,,
SO20250119,2025-03-12 00:00:00,运营部,白板笔,深圳,428.73,106,45445.38 元,李明,,,
SO20250120,2025-04-01 00:00:00,销售部,剪刀,武汉,196.11,170,33338.7,赵强,,,
SO20250121,2025-02-17 00:00:00,人事部,A4打印纸,广州,253.63,152,38551.76,张伟,,,
SO20250122,2025-02-04 00:00:00,行政部,剪刀,上海,265.35,117,31045.95,李明,,,
SO20250123,2025-02-15 00:00:00,人事部,文件夹,上海,237.4,68,16143.2,张伟,,,
SO20250124,2025-04-21 00:00:00,销售部,签字笔,成都,426.91,137,5848667.0,刘洋,,,
SO20250125,2025-04-01 00:00:00,销售部,剪刀,北京,310.64,61,18949.04,赵强,,,
SO20250126,2025-03-24 00:00:00,技术部,签字笔,武汉,489.28,195,95409.6 元,赵强,【补录】线下订单转线上，操作人赵强,,
SO20250127,2025-05-03 00:00:00,技术部,便利贴,北京,27.77,15,416.55,张伟,,,
SO20250128,2025-04-11 00:00:00,财务部,白板笔,广州,125.88,106,13343.28,陈静,,,
SO20250129,2025-02-25 00:00:00,技术部,文件夹,上海,306.7,98,30056.6,陈静,,,
SO20250130,2025-03-12 00:00:00,人事部,回形针,广州,约119.93,164,19668.52,张伟,,,
SO20250131,2025-05-07 00:00:00,财务部,A4打印纸,南京,451.1,174,78491.4,陈静,,,
SO20250132,2025-02-19 00:00:00,市场部,剪刀,成都,493.89,77,38029.53,赵强,,,
SO20250133,2025-04-28 00:00:00,销售部,便利贴,南京,423.43,51,21594.93 元,刘洋,,LEG-73335,2019-2747
SO20250134,2025-03-11 00:00:00,人事部,回形针,成都,289.53,180,52115.4,张伟,,,
SO20250135,2025-01-15 00:00:00,行政部,白板笔,杭州,9.01,176,1585.76,赵强,【补录】系统漏单，操作人赵强，后补说明,,
SO20250136,2025-03-24 00:00:00,行政部,订书机,成都,113.41,约49箱,5557.09,陈静,,,
SO20250137,2025-03-15 00:00:00,销售部,文件夹,上海,452.18,166,75061.88,李明,,,
SO20250138,2025-03-30 00:00:00,行政部,剪刀,北京,291.89,188,54875.32,王芳,修正：原金额填错，更正为54875.32元，原单已作废,,
SO20250139,2025-03-26 00:00:00,财务部,白板笔,广州,104.39,139,14510.21,张伟,,,
SO20250140,2025-05-25 00:00:00,运营部,便利贴,广州,132.2,124,16392.8 元,张伟,,,
SO20250141,2025-04-06 00:00:00,行政部,签字笔,南京,481.63,37,17820.31,王芳,,,
SO20250142,2025-04-21 00:00:00,行政部,胶带,成都,49.7,102,5069.4,李明,,,
SO20250143,2025-03-18 00:00:00,运营部,签字笔,南京,187.45,192,35990.4,赵强,,,
SO20250144,2025-03-18 00:00:00,运营部,白板笔,成都,58.63,60,3517.8,刘洋,【补录】系统漏单，操作人刘洋，后补说明,,
SO20250145,2025-03-07 00:00:00,销售部,签字笔,南京,455.15,78,35501.7,赵强,备注：此单为历史遗留，等业务方确认后再处理，后续补充相关合同号,,
SO20250146,2025-04-24 00:00:00,市场部,文件夹,北京,473.4,78,36925.2,刘洋,,,
SO20250147,2025-02-08 00:00:00,市场部,订书机,广州,197.38,95,18751.1 元,赵强,,,
SO20250148,2025-05-28 00:00:00,人事部,回形针,广州,443.28,168,74471.04,李明,"客户定制需求详情：
第1项要求：验收单签字，联系电话13300368694，地址：广州市朝阳区某某路707号
第2项要求：上门安装，联系电话13233291547，地址：广州市武昌区某某路456号
第3项要求：指定送货时间，联系电话13918532650，地址：广州市西湖区某某路102号
第4项要求：上门安装，联系电话13584615760，地址：广州市西湖区某某路63号
第5项要求：验收单签字，联系电话13296225446，地址：广州市天河区某某路992号
第6项要求：分批次发货，联系电话13910568697，地址：广州市武昌区某某路94号
第7项要求：指定送货时间，联系电话13689024924，地址：广州市朝阳区某某路52号
第8项要求：上门安装，联系电话13261530104，地址：广州市浦东区某某路806号
第9项要求：指定送货时间，联系电话13073669588，地址：广州市天河区某某路601号
第10项要求：指定送货时间，联系电话13873008988，地址：广州市天河区某某路337号
第11项要求：开具增值税专票，联系电话13846799779，地址：广州市朝阳区某某路284号
第12项要求：开具增值税专票，联系电话13139577989，地址：广州市南山区某某路818号
第13项要求：开具增值税专票，联系电话13118032515，地址：广州市朝阳区某某路135号
第14项要求：包装加固，联系电话13384659715，地址：广州市天河区某某路603号",,
SO20250149,2025-04-02 00:00:00,市场部,文件夹,杭州,30.94,190,5878.6,刘洋,,,
SO20250150,2025-05-24 00:00:00,市场部,签字笔,南京,226.9,93,21101.7,陈静,,,
SO20250151,2025-02-06 00:00:00,人事部,胶带,深圳,472.98,12,5675.76,赵强,,,
SO20250152,2025-05-23 00:00:00,财务部,剪刀,北京,35.11,123,4318.53,刘洋,,LEG-65872,2019-2768
SO20250153,2025-05-15 00:00:00,销售部,剪刀,上海,450.14,约83箱,37361.62,陈静,【补录】系统漏单，操作人陈静,,
SO20250154,2025-02-11 00:00:00,财务部,回形针,成都,193.55,153,29613.15,陈静,,,
SO20250155,2025-03-26 00:00:00,人事部,胶带,武汉,54.09,180,973620.0,李明,,,
SO20250156,2025-05-31 00:00:00,销售部,订书机,武汉,约228.52,59,13482.68,刘洋,,,
SO20250157,2025-04-06 00:00:00,行政部,剪刀,武汉,210.91,25,5272.75,张伟,,,
SO20250158,2025-04-29 00:00:00,财务部,便利贴,成都,477.03,176,83957.28,刘洋,,,
SO20250159,2025-01-27 00:00:00,市场部,签字笔,上海,218.78,191,41786.98,赵强,,,
SO20250160,2025-04-15 00:00:00,行政部,文件夹,北京,295.3,144,42523.2,陈静,,,
SO20250161,2025-04-04 00:00:00,销售部,签字笔,武汉,180.03,171,30785.13 元,刘洋,修正：原金额填错，更正为30785.13元，原单已作废,,
SO20250162,2025-03-24 00:00:00,运营部,便利贴,成都,56.28,130,7316.4,王芳,【补录】系统漏单，操作人王芳，后补说明,,
SO20250163,2025-03-08 00:00:00,行政部,签字笔,成都,423.46,95,40228.7,李明,,,
SO20250164,2025-03-22 00:00:00,运营部,订书机,武汉,423.35,197,83399.95,陈静,,,
SO20250165,2025-06-01 00:00:00,市场部,回形针,杭州,19.33,70,1353.1,赵强,,,
SO20250166,2025-03-30 00:00:00,财务部,计算器,北京,94.8,37,3507.6,陈静,,,
SO20250167,2025-04-22 00:00:00,市场部,文件夹,北京,50.42,136,6857.12,王芳,,,
SO20250168,2025-04-16 00:00:00,人事部,剪刀,成都,82.92,80,6633.6 元,赵强,,,
SO20250169,2025-04-03 00:00:00,行政部,回形针,上海,约442.25,40,17690.0,王芳,,,
SO20250170,2025-01-22 00:00:00,销售部,签字笔,杭州,224.34,约109箱,24453.06,刘洋,,,
SO20250171,2025-05-03 00:00:00,人事部,便利贴,深圳,378.7,30,11361.0,张伟,【补录】客服手工补，操作人张伟,LEG-47125,2019-8972
SO20250172,2025-05-24 00:00:00,销售部,便利贴,北京,114.16,154,17580.64,李明,,,
SO20250173,2025-01-11 00:00:00,技术部,便利贴,深圳,384.84,196,75428.64,张伟,,,
SO20250174,2025-03-25 00:00:00,财务部,签字笔,北京,251.21,111,27884.31,王芳,备注：此单为历史遗留，等业务方确认后再处理，后续补充相关合同号,,
SO20250175,2025-02-12 00:00:00,人事部,胶带,深圳,252.63,172,43452.36 元,张伟,,,
SO20250176,2025-01-28 00:00:00,人事部,A4打印纸,武汉,14.28,20,285.6,张伟,,,
SO20250177,2025-06-06 00:00:00,人事部,回形针,武汉,356.2,107,38113.4,张伟,,,
SO20250178,2025-02-08 00:00:00,人事部,A4打印纸,成都,90.08,159,14322.72,刘洋,,,
SO20250179,2025-04-12 00:00:00,市场部,白板笔,上海,125.44,151,18941.44,刘洋,,,
SO20250180,2025-05-24 00:00:00,市场部,白板笔,杭州,374.17,57,21327.69,张伟,【补录】系统漏单，操作人张伟,,
SO20250181,2025-05-20 00:00:00,销售部,签字笔,深圳,453.43,90,40808.7,张伟,,,
SO20250182,2025-02-16 00:00:00,技术部,签字笔,广州,131.7,45,5926.5 元,陈静,,,
SO20250183,2025-02-18 00:00:00,行政部,签字笔,广州,475.89,161,76618.29,刘洋,,,
SO20250184,2025-05-08 00:00:00,行政部,回形针,南京,342.16,145,49613.2,赵强,修正：原金额填错，更正为49613.2元，原单保留备查,,
SO20250185,2025-03-31 00:00:00,技术部,剪刀,上海,237.12,162,38413.44,张伟,"客户定制需求详情：
第1项要求：包装加固，联系电话13377895080，地址：上海市海淀区某某路318号
第2项要求：提供质检报告，联系电话13485238820，地址：上海市朝阳区某某路59号
第3项要求：上门安装，联系电话13893027458，地址：上海市南山区某某路79号
第4项要求：分批次发货，联系电话13660360225，地址：上海市锦江区某某路474号
第5项要求：包装加固，联系电话13482897882，地址：上海市天河区某某路330号
第6项要求：提供质检报告，联系电话13538339044，地址：上海市浦东区某某路981号
第7项要求：包装加固，联系电话13483745511，地址：上海市海淀区某某路831号
第8项要求：上门安装，联系电话13766990485，地址：上海市海淀区某某路517号
第9项要求：开具增值税专票，联系电话13042028540，地址：上海市天河区某某路725号
第10项要求：提供质检报告，联系电话13471825556，地址：上海市浦东区某某路373号
第11项要求：上门安装，联系电话13985627126，地址：上海市南山区某某路397号",,
SO20250186,2025-04-24 00:00:00,行政部,计算器,北京,395.67,166,6568122.0,张伟,,,
SO20250187,2025-01-26 00:00:00,财务部,签字笔,武汉,145.65,186,27090.9,赵强,,,
SO20250188,2025-02-17 00:00:00,财务部,签字笔,广州,458.79,80,36703.2,赵强,,,
SO20250189,2025-04-20 00:00:00,技术部,回形针,上海,158.24,97,15349.28 元,赵强,【补录】客服手工补，操作人赵强,,
SO20250190,2025-05-24 00:00:00,市场部,白板笔,成都,14.02,80,1121.6,王芳,,LEG-38074,2019-6598
SO20250191,2025-05-14 00:00:00,技术部,订书机,广州,81.7,76,6209.2,李明,,,
SO20250192,2025-05-19 00:00:00,行政部,胶带,北京,332.65,197,65532.05,陈静,,,
SO20250193,2025-02-12 00:00:00,运营部,白板笔,广州,85.31,178,15185.18,陈静,,,
SO20250194,2025-02-21 00:00:00,销售部,剪刀,北京,208.38,174,36258.12,赵强,,,
SO20250195,2025-03-11 00:00:00,人事部,回形针,杭州,约377.43,115,43404.45,王芳,,,
SO20250196,2025-05-26 00:00:00,技术部,便利贴,南京,452.47,50,22623.5 元,张伟,,,
SO20250197,2025-06-05 00:00:00,人事部,剪刀,杭州,390.17,129,50331.93,陈静,,,
SO20250198,2025-04-27 00:00:00,技术部,订书机,广州,437.14,14,6119.96,赵强,【补录】客服手工补，操作人赵强，后补说明,,
SO20250199,2025-05-31 00:00:00,市场部,胶带,上海,146.11,196,28637.56,王芳,,,
SO20250200,2025-03-20 00:00:00,人事部,胶带,广州,416.37,24,9992.88,王芳,,,
