_source,_processing_status,_context_id,project_code,_src_project_code,project_name,_src_project_name,quantity,_src_quantity,unit,_src_unit,unit_price,_src_unit_price,total_price,_src_total_price,tax_rate,_src_tax_rate,_unmapped_备注,_unmapped_说明,_unmapped_来源系统,_record_index,total_price_status,total_price_calculated,total_price_expected,total_price_anomaly,total_price_record_id,tax_amount_status,tax_amount_calculated,tax_amount_expected,tax_amount_anomaly,tax_amount_record_id,_overall_status,unit_cost_status,unit_cost_calculated,unit_cost_expected,unit_cost_anomaly,unit_cost_record_id
,字段已映射,,XM011,项目编码,墙面抹灰,项目名称,180,工程量,m²,单位,75.0,单价,13500.0,合价,13%,税率,正常数据,,,10,通过,13635.0,13500.0,,58f1113dfd,失败,1755.0,13500.0,数值偏差,74ca4273a0,失败,失败,75.0,13500.0,数值偏差,a7a2985ffb
,字段已映射,,XM012,项目编码,吊顶工程,项目名称,90,工程量,m²,单位,150.0,单价,13500.0,合价,13%,税率,正常数据,,,11,通过,13635.0,13500.0,,50af8c9721,失败,1755.0,13500.0,数值偏差,a88c543bb0,失败,失败,150.0,13500.0,数值偏差,f0228b73d7
,字段已映射,,XM001,项目编号,混凝土浇筑,名称,100,数量,m³,计量单位,350.0,综合单价,35000.0,总价,0.13,增值税率,,正确,,12,通过,35350.0,35000.0,,9bf803a1e6,失败,4550.0,35000.0,数值偏差,1dccf78ad8,失败,失败,350.0,35000.0,数值偏差,747fe46d76
,字段已映射,,XM002,项目编号,钢筋绑扎,名称,50,数量,t,计量单位,5800.0,综合单价,290000.0,总价,0.13,增值税率,,正确,,13,通过,292900.0,290000.0,,fa6ab7ee53,失败,37700.0,290000.0,数值偏差,90713f948a,失败,失败,5800.0,290000.0,数值偏差,4405750ae6
,字段已映射,,XM003,项目编号,模板工程,名称,200,数量,m²,计量单位,85.0,综合单价,17000.0,总价,0.13,增值税率,,正确,,14,通过,17170.0,17000.0,,a896100feb,失败,2210.0,17000.0,数值偏差,c0dbb09f12,失败,失败,85.0,17000.0,数值偏差,26bb44dc5d
,字段已映射,,XM004,项目编号,脚手架,名称,150,数量,m²,计量单位,120.0,综合单价,18000.0,总价,0.13,增值税率,,正确,,15,通过,18180.0,18000.0,,c00bc73825,失败,2340.0,18000.0,数值偏差,bb22cebbe0,失败,失败,120.0,18000.0,数值偏差,323fed584f
,字段已映射,,XM005,项目编号,防水工程,名称,80,数量,m²,计量单位,280.0,综合单价,22400.0,总价,0.09,增值税率,,税率9%,,16,通过,22624.0,22400.0,,e785d49457,失败,2016.0,22400.0,数值偏差,63b7a5bcb6,失败,失败,280.0,22400.0,数值偏差,74e7440dd6
,字段已映射,,XM006,项目编号,土方开挖,名称,500,数量,m³,计量单位,45.0,综合单价,22500.0,总价,0.09,增值税率,,正确,,17,通过,22725.0,22500.0,,71b7f34499,失败,2025.0,22500.0,数值偏差,b9683c3b4a,失败,失败,45.0,22500.0,数值偏差,4fcc18e641
,字段已映射,,XM013,项目编号,门窗安装,名称,50,数量,套,计量单位,850.0,综合单价,42500.0,总价,0.13,增值税率,,新增项目,,18,通过,42925.0,42500.0,,4c6211e394,失败,5525.0,42500.0,数值偏差,7f1877af34,失败,失败,850.0,42500.0,数值偏差,119a055f0d
,字段已映射,,XM014,项目编号,涂料粉刷,名称,200,数量,m²,计量单位,55.0,综合单价,11000.0,总价,0.13,增值税率,,新增项目,,19,通过,11110.0,11000.0,,fb1e07f2a9,失败,1430.0,11000.0,数值偏差,d512dd58ad,失败,失败,55.0,11000.0,数值偏差,de8788470a
,字段已映射,,XM015,项目编号,卫生洁具,名称,20,数量,套,计量单位,1200.0,综合单价,24000.0,总价,0.13,增值税率,,新增项目,,20,通过,24240.0,24000.0,,a2233355b5,失败,3120.0,24000.0,数值偏差,9839d98d07,失败,失败,1200.0,24000.0,数值偏差,f1e2f2d080
,字段已映射,,XM016,项目编号,灯具安装,名称,30,数量,套,计量单位,450.0,综合单价,13500.0,总价,0.13,增值税率,,新增项目,,21,通过,13635.0,13500.0,,e88f84d255,失败,1755.0,13500.0,数值偏差,60ee7999f3,失败,失败,450.0,13500.0,数值偏差,7ad5e8ba70
,字段已映射,,XM001,编号,混凝土浇筑,名称,100,工作量,m³,单位,350.0,价格,35000.0,金额,13,税率,手动录入,,,22,通过,35350.0,35000.0,,73d0881a04,失败,4550.0,35000.0,数值偏差,b0916fd2ef,失败,失败,350.0,35000.0,数值偏差,65d316237b
,字段已映射,,XM002,编号,钢筋绑扎,名称,50,工作量,t,单位,5800.0,价格,290000.0,金额,13,税率,手动录入,,,23,通过,292900.0,290000.0,,32360286a9,失败,37700.0,290000.0,数值偏差,84337a1246,失败,失败,5800.0,290000.0,数值偏差,c084386392
,字段已映射,,XM003,编号,模板工程,名称,200,工作量,m²,单位,85.0,价格,17000.0,金额,13,税率,手动录入,,,24,通过,17170.0,17000.0,,8c8cb702bd,失败,2210.0,17000.0,数值偏差,8d68b65a6b,失败,失败,85.0,17000.0,数值偏差,0722bebc0d
,字段已映射,,XM004,编号,脚手架,名称,150,工作量,m²,单位,120.0,价格,18000.0,金额,13,税率,手动录入,,,25,通过,18180.0,18000.0,,9e69d0f2c8,失败,2340.0,18000.0,数值偏差,afc067f914,失败,失败,120.0,18000.0,数值偏差,5e84daea04
,字段已映射,,XM005,编号,防水工程,名称,80,工作量,m²,单位,280.0,价格,22400.0,金额,9,税率,手动录入,,,26,通过,22624.0,22400.0,,7e29152b7b,失败,2016.0,22400.0,数值偏差,63f34fec5a,失败,失败,280.0,22400.0,数值偏差,4a78dc4473
,字段已映射,,XM006,编号,土方开挖,名称,500,工作量,m³,单位,45.0,价格,22500.0,金额,9,税率,手动录入,,,27,通过,22725.0,22500.0,,772db68b67,失败,2025.0,22500.0,数值偏差,ee3e62c167,失败,失败,45.0,22500.0,数值偏差,541b9ee93e
,字段已映射,,XM017,编号,智能化系统,名称,1,工作量,项,单位,150000.0,价格,150000.0,金额,13,税率,整项计价,,,28,通过,151500.0,150000.0,,0f8aa216de,失败,19500.0,150000.0,数值偏差,2529d3716f,失败,通过,150000.0,150000.0,,ec3948bff9
,字段已映射,,XM018,编号,消防工程,名称,1,工作量,项,单位,85000.0,价格,85000.0,金额,13,税率,整项计价,,,29,通过,85850.0,85000.0,,9e903b8d57,失败,11050.0,85000.0,数值偏差,4b1c1266d5,失败,通过,85000.0,85000.0,,2fc09299ed
,字段已映射,,XM019,编号,通风空调,名称,1,工作量,项,单位,120000.0,价格,120000.0,金额,13,税率,整项计价,,,30,通过,121200.0,120000.0,,d724761fc2,失败,15600.0,120000.0,数值偏差,65a9827a4f,失败,通过,120000.0,120000.0,,6731cf5436
,字段已映射,,XM001,项目编码,混凝土浇筑,项目名称,100,工程量,m³,单位,0.035,单位万元,35000.0,合价,13%,税率,,,ERP系统,31,失败,3.5350000000000006,35000.0,数值偏差,17048684d7,失败,4550.0,35000.0,数值偏差,f6b9ddc521,失败,失败,350.0,35000.0,数值偏差,92d18177e5
,字段已映射,,XM002,项目编码,钢筋绑扎,项目名称,50,工程量,t,单位,0.58,单位万元,290000.0,合价,13%,税率,,,ERP系统,32,失败,29.289999999999996,290000.0,数值偏差,9d7c46498b,失败,37700.0,290000.0,数值偏差,e549702a8b,失败,失败,5800.0,290000.0,数值偏差,6d62baffd1
,字段已映射,,XM003,项目编码,模板工程,项目名称,200,工程量,m²,单位,0.0085,单位万元,17000.0,合价,13%,税率,,,ERP系统,33,失败,1.7170000000000003,17000.0,数值偏差,6fa58a4138,失败,2210.0,17000.0,数值偏差,751d159b62,失败,失败,85.0,17000.0,数值偏差,de33e20319
,字段已映射,,XM004,项目编码,脚手架,项目名称,150,工程量,m²,单位,0.012,单位万元,18000.0,合价,13%,税率,,,ERP系统,34,失败,1.818,18000.0,数值偏差,41c3b614b5,失败,2340.0,18000.0,数值偏差,50fedae396,失败,失败,120.0,18000.0,数值偏差,9ecfc3b720
,字段已映射,,XM005,项目编码,防水工程,项目名称,80,工程量,m²,单位,0.028,单位万元,22400.0,合价,9%,税率,,,ERP系统,35,失败,2.2624000000000004,22400.0,数值偏差,e0a6b5a0b5,失败,2016.0,22400.0,数值偏差,323419a2ff,失败,失败,280.0,22400.0,数值偏差,7a8840e364
,字段已映射,,XM006,项目编码,土方开挖,项目名称,500,工程量,m³,单位,0.0045,单位万元,22500.0,合价,9%,税率,,,ERP系统,36,失败,2.2725,22500.0,数值偏差,f9104a8c23,失败,2025.0,22500.0,数值偏差,286d77c143,失败,失败,45.0,22500.0,数值偏差,9e8940d280
,字段已映射,,BN001,项目编码,除零测试,项目名称,0,工程量,m³,单位,100.0,单价,0.0,合价,13%,税率,工程量为0，测试除零边界,,,37,通过,0.0,0.0,,ad13d51be5,通过,0.0,0.0,,edbf76d96d,异常,异常,,0.0,除零异常,8d76917cc5
,字段已映射,,BN002,项目编码,极小分母,项目名称,0.0000001,工程量,m³,单位,1000000.0,单价,1.0,合价,13%,税率,分母接近0，测试边界,,,38,失败,0.10099999999999999,1.0,数值偏差,ef7449954f,失败,0.13,1.0,数值偏差,ae5022c8c7,失败,失败,10000000.0,1.0,数值偏差,68785e6bb6
,字段已映射,,BN003,项目编码,负值工程量,项目名称,-10,工程量,m³,单位,100.0,单价,-1000.0,合价,13%,税率,工程量为负,,,39,通过,-1010.0,-1000.0,负值异常,f21dd71ad5,失败,-130.0,-1000.0,数值偏差,031f41749a,失败,失败,100.0,-1000.0,数值偏差,b2500f7e0a
,字段已映射,,BN004,项目编码,负值单价,项目名称,10,工程量,m³,单位,-100.0,单价,-1000.0,合价,13%,税率,单价为负,,,40,通过,-1010.0,-1000.0,负值异常,b0e4c04eea,失败,-130.0,-1000.0,数值偏差,d535b40942,失败,失败,-100.0,-1000.0,数值偏差,f7f1e98c1b
,字段已映射,,BN005,项目编码,空值字段,项目名称,,工程量,m³,单位,100.0,单价,,合价,13%,税率,工程量为空,,,41,异常,,,空值异常,76b57ae05c,异常,,,空值异常,76c74f98be,异常,异常,,,空值异常,dda41b312b
,字段已映射,,BN006,项目编码,空值单价,项目名称,10,工程量,m³,单位,,单价,,合价,13%,税率,单价为空,,,42,异常,,,空值异常,fa3f5943a0,异常,,,空值异常,76102166e8,异常,异常,,,空值异常,3645b0f9df
,字段已映射,,BN007,项目编码,单位不匹配,项目名称,10,工程量,吨,单位,100.0,单价,1000.0,合价,13%,税率,单位是吨，预期是千克,,,43,通过,1010.0,1000.0,,0a6996e73a,失败,130.0,1000.0,数值偏差,32666cc0f7,失败,失败,100.0,1000.0,数值偏差,f7d0162cfd
,字段已映射,,BN008,项目编码,税率异常,项目名称,10,工程量,m³,单位,100.0,单价,1000.0,合价,113,税率,税率大于1,,,44,通过,1010.0,1000.0,,666f218811,失败,1130.0,1000.0,数值偏差,479dbeee78,失败,失败,100.0,1000.0,数值偏差,23df0d907c
,字段已映射,,BN009,项目编码,精度问题,项目名称,10,工程量,m³,单位,99.99,单价,999.9,合价,13%,税率,四舍五入偏差,,,45,通过,1009.899,999.9,,776b414e62,失败,129.987,999.9,数值偏差,a639e81c9a,失败,失败,99.99,999.9,数值偏差,34e12ade34
,字段已映射,,BN010,项目编码,期望值偏差,项目名称,10,工程量,m³,单位,100.0,单价,950.0,合价,13%,税率,期望值与计算值偏差5%,,,46,失败,1010.0,950.0,数值偏差,fb85896a36,失败,123.5,950.0,数值偏差,e704b46202,失败,失败,95.0,950.0,数值偏差,0c4b25e268
,字段已映射,,BN011,项目编码,零合价,项目名称,0,工程量,m³,单位,0.0,单价,0.0,合价,13%,税率,全零记录,,,47,通过,0.0,0.0,,69b5461e31,通过,0.0,0.0,,9a7460d3b1,异常,异常,,0.0,除零异常,64c561e042
,字段已映射,,BN012,项目编码,大额数值,项目名称,1000,工程量,m³,单位,999999.0,单价,999999000.0,合价,13%,税率,大额数值测试,,,48,通过,1009998990.0,999999000.0,,8fc618e423,失败,129999870.0,999999000.0,数值偏差,f0feb241aa,失败,失败,999999.0,999999000.0,数值偏差,e108112217
,字段已映射,,BN013,项目编码,格式错误,项目名称,INVALID,工程量,m³,单位,100.0,单价,1000.0,合价,13%,税率,工程量非数字，测试公式计算异常,,,49,异常,,1000.0,公式计算异常,499876ca73,失败,130.0,1000.0,数值偏差,b590b18d72,异常,异常,,1000.0,公式计算异常,3f4f53b44a
