anomaly_id,record_id,timestamp,anomaly_type,value,threshold_value,threshold_name,unit,description,nameplate_version,nameplate_snapshot_hash,nameplate_change_reason,active_notes,active_note_impacts,retracted_notes,retract_reasons,source_file,tower_id
anom_000011,wd_000036,2024-06-14 11:00:00,temp_high,32.8,32.0,water_drop_temp_high,L/min,温度 32.8℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000012,wd_000037,2024-06-14 11:05:00,temp_high,33.1,32.0,water_drop_temp_high,L/min,温度 33.1℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000013,wd_000038,2024-06-14 11:10:00,temp_high,33.4,32.0,water_drop_temp_high,L/min,温度 33.4℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000014,wd_000039,2024-06-14 11:15:00,temp_high,33.7,32.0,water_drop_temp_high,L/min,温度 33.7℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000015,wd_000040,2024-06-14 11:20:00,temp_high,33.5,32.0,water_drop_temp_high,L/min,温度 33.5℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000016,wd_000054,2024-06-14 12:30:00,temp_high,32.2,32.0,water_drop_temp_high,L/min,温度 32.2℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000017,wd_000056,2024-06-14 12:40:00,temp_high,32.8,32.0,water_drop_temp_high,L/min,温度 32.8℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000018,wd_000057,2024-06-14 12:45:00,temp_high,33.1,32.0,water_drop_temp_high,L/min,温度 33.1℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000019,wd_000058,2024-06-14 12:50:00,temp_high,33.4,32.0,water_drop_temp_high,L/min,温度 33.4℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000020,wd_000059,2024-06-14 12:55:00,temp_high,33.7,32.0,water_drop_temp_high,L/min,温度 33.7℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000021,wd_000074,2024-06-14 14:10:00,temp_high,32.2,32.0,water_drop_temp_high,L/min,温度 32.2℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000022,wd_000075,2024-06-14 14:15:00,temp_high,32.5,32.0,water_drop_temp_high,L/min,温度 32.5℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000023,wd_000076,2024-06-14 14:20:00,temp_high,32.8,32.0,water_drop_temp_high,L/min,温度 32.8℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000024,wd_000077,2024-06-14 14:25:00,temp_high,33.1,32.0,water_drop_temp_high,L/min,温度 33.1℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000025,wd_000078,2024-06-14 14:30:00,temp_high,33.4,32.0,water_drop_temp_high,L/min,温度 33.4℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000026,wd_000079,2024-06-14 14:35:00,temp_high,33.7,32.0,water_drop_temp_high,L/min,温度 33.7℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000027,wd_000080,2024-06-14 14:40:00,flow_low,8.5,10.0,water_drop_flow_low,L/min,流量 8.5L/min 低于下限 10.0L/min,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000028,wd_000094,2024-06-14 15:50:00,temp_high,32.2,32.0,water_drop_temp_high,L/min,温度 32.2℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000029,wd_000095,2024-06-14 15:55:00,temp_high,32.5,32.0,water_drop_temp_high,L/min,温度 32.5℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000030,wd_000096,2024-06-14 16:00:00,temp_high,32.8,32.0,water_drop_temp_high,L/min,温度 32.8℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
